design,embargo_sessions,comparison,row_brier_improvement,equal_year_brier_improvement,annual_bootstrap_ci_low,annual_bootstrap_ci_high,exact_sign_randomization_p_one_sided,exact_binomial_sign_p_one_sided,positive_years,outer_years,complete_outer_years,positive_year_share,row_logloss_improvement,equal_year_logloss_improvement
primary,20,A3_minus_A1,0.001503682308,0.001465272077,-0.0017028352,0.004761936201,0.2080078125,0.0546875,8,10,9,0.8,0.004511453846,0.004502695586
primary,60,A3_minus_A1,0.001496151874,0.001457155827,-0.001733633645,0.004701485715,0.2099609375,0.0546875,8,10,9,0.8,0.004489735031,0.004479874123
