design,embargo_sessions,variant,warning_budget_target,realized_warning_share,independent_episode_count,captured_episode_count,episode_recall,severity_weighted_episode_recall,median_first_warning_lead_sessions,false_warning_clusters,false_warning_clusters_per_year,false_warning_definition
primary,20,A1,0.15,0.214,17,8,0.4705882353,0.3627795927,6.5,49,4.9,"warning anchors outside all independent-episode 20-session pre-breach windows, clustered when <=10 calendar days apart"
primary,20,A3,0.15,0.178,17,6,0.3529411765,0.3257966357,9,34,3.4,"warning anchors outside all independent-episode 20-session pre-breach windows, clustered when <=10 calendar days apart"
