Fedwire Funds Services - Monthly Statistics
                                                                                                                               Average                     Average
                                  Monthly           Value of           Monthly           Average                                daily                       daily
                   Transfers        volume           transfers           value          value per                             volume of                    value of
                   originated       growth          originated           growth          transfer        Number of            transfers¹                  transfers¹
Month               (number)      (percent)        ($ millions)        (percent)       ($ millions)         days               (number)                   ($ millions)
2021: September    17,362,603        2.5            86,392,398            1.2              4.98              21                 826,791                    4,113,924
2021: August       16,932,586        0.9            85,387,068            0.2              5.04              22                 769,663                    3,881,230
2021: July         16,778,543       (7.1)           85,207,476           (3.1)             5.08              21                 798,978                    4,057,499
2021: June         18,056,001       12.9            87,963,587           16.3              4.87              22                 820,727                    3,998,345
2021: May          15,989,979       (8.0)           75,617,695           (7.5)             4.73              20                 799,499                    3,780,885
2021: April        17,383,972       (7.4)           81,785,603           (8.1)             4.70              22                 790,181                    3,717,527
2021:March         18,775,284       22.3            88,995,733           28.8              4.74              23                 816,317                    3,869,380
2021:February      15,357,326        0.6            69,101,534            5.0              4.50              19                 808,280                    3,636,923
2021:January       15,264,864       (17.0)          65,811,171           (12.8)            4.31              19                 803,414                    3,463,746
2020:December      18,389,408       20.4            75,489,819           17.9              4.11              22                 835,882                    3,431,355
2020:November      15,275,595       (7.5)           64,051,849           (3.2)             4.19              19                 803,979                    3,371,150
2020:October       16,514,343        1.7            66,166,446           (1.4)             4.01              21                 786,397                    3,150,783
2020:September     16,233,363        7.7            67,113,792            6.5              4.13              21                 773,017                    3,195,895
2020:August        15,077,798       (6.4)           63,014,062           (7.6)             4.18              21                 717,990                    3,000,670
2020:July          16,110,311        3.3            68,194,914           (7.8)             4.23              23                 700,448                    2,964,996
2020:June          15,593,123       14.9            73,935,343            4.1              4.74              22                 708,778                    3,360,697
2020:May           13,567,275       (5.7)           71,041,305           (13.4)            5.24              20                 678,364                    3,552,065
2020:April         14,384,461       (6.9)           82,059,649           (7.8)             5.70              22                 653,839                    3,729,984
2020:March         15,454,777       18.3            89,049,633           56.0              5.76              22                 702,490                    4,047,711
2020:February      13,064,202       (8.9)           57,074,327           (9.8)             4.37              19                 687,590                    3,003,912
